syn,ith,p,alpha,obj(GVNS),time(GVNS),obj(DLHr-GVNS),time(DLHr-GVNS),obj(cplex),time(cplex)
100,5,5,0.7,89187186.37,18.489,89187186.37,39.709,89187186.37,14407.249
100,5,6,0.3,69482574.29,37.9,69482574.29,28.132,69482574.29,5454.313
100,5,6,0.5,75352751.84,32.595,75071336.16,37.312,75071336.16,14407.511
100,5,6,0.7,80537469.64,45.166,80537469.64,51.363,81768360.15,14405.796
100,5,7,0.3,61577997.84,16.94,61577997.84,43.48,61577997.84,12052.264
100,5,7,0.5,67491271.96,49.819,67491271.96,47.14,67588598.98,14408.607
100,5,7,0.7,73449902.7,58.856,73221623.44,71.153,74273367.5,14405.285
100,5,8,0.3,54126885.55,46.707,54126885.55,70.891,54126885.55,5338.994
100,5,8,0.5,59987357.6,92.62,59987357.6,52.642,59987357.6,11973.181
100,5,8,0.7,65713162.55,68.232,65713162.55,59.382,65806655.69,14404.679
100,5,9,0.3,47813115.14,77.112,47786152.05,89.533,47786152.05,2442.803
100,5,9,0.5,53605023.38,91.444,53605023.38,79.2,53605023.38,2854.13
100,5,9,0.7,59371838.02,121.73,59322717.97,96.803,59322717.97,11532.718
100,5,10,0.3,43976187.46,52.147,43998848.23,54.383,43976187.46,6451.007
100,5,10,0.5,50051748.64,53.789,50069420.12,85.338,49994347.84,10491.264
100,5,10,0.7,56033970.79,50.421,56005139.96,95.506,55686151.63,14408.681
100,6,2,0.3,729555935.2,1.486,729626047.6,1.827,729555935.2,2430.331
100,6,2,0.5,752504928.9,0.247,752504928.9,0.802,752504928.9,2408.896
100,6,2,0.7,774063717.9,2.154,774063717.9,1.985,774072118.3,14533.712
100,6,3,0.3,459909469.5,6.345,459909469.5,4.187,459909469.5,1051.008
100,6,3,0.5,492252382.1,3.137,492252382.1,4.258,492252382.1,1237.797
100,6,3,0.7,523865028.6,3.318,523865028.6,7.573,523832936.2,7429.793
100,6,4,0.3,375690413.3,0.356,375690413.3,0.33,375690413.3,1134.262
100,6,4,0.5,410520417.3,0.49,410520417.3,0.596,410520417.3,1578.365
100,6,4,0.7,445238913.5,4.613,445238913.5,5.351,445238913.5,9606.923
100,6,5,0.3,329156919.4,3.207,329156919.4,3.8,329156919.4,1649.501
100,6,5,0.5,368337385.3,7.436,368337385.3,5.166,368337385.3,4386.7
100,6,5,0.7,407500708.6,16.478,407500708.6,10.634,410423271.1,14506.853
100,6,6,0.3,288520899.6,33.446,286367343,21.807,286367343,1103.338
100,6,6,0.5,339413731.9,41.214,337523098.9,22.332,337523098.9,6525.72
100,6,6,0.7,379153300.7,22.42,379155400.8,24.361,384583871.3,14572.387
100,6,7,0.3,257748036.1,41.699,254391136.8,19.486,254391136.8,938.856
100,6,7,0.5,310547939.6,52.438,309803308.4,27.04,309803308.4,7709.433
100,6,7,0.7,356348380,45.341,355363628.1,38.916,355952904.8,14571.129
100,6,8,0.3,228431544.7,91.796,228431544.7,33.29,228431544.7,1080.617
100,6,8,0.5,282655374.7,49.922,282655374.7,45.05,282655374.7,2985.949
100,6,8,0.7,332448464.7,66.136,332450619.5,85.482,333119475.6,14635.86
100,6,9,0.3,207692605,79.599,205722471.2,48.128,205722471.2,820.618
100,6,9,0.5,263568136.8,38.151,259689853.2,60.844,259689853.2,1396.424
100,6,9,0.7,317821462.8,56.904,313729891.5,86.569,313517710.2,9296.718
100,6,10,0.3,199815919.5,114.869,193157638.4,67.508,192862841.1,1056.218
100,6,10,0.5,251766607,48.058,247948750.4,77.087,247826128.3,4141.71
100,6,10,0.7,306922496.1,42.587,303365357.1,88.578,301744092.5,8096.19
100,7,2,0.3,70344176.39,1.74,70344176.39,2.501,70344176.39,13702.747
100,7,2,0.5,71647724.18,1.797,71647724.18,3.304,71647724.18,3568.719
100,7,2,0.7,72934390.75,0.974,72934390.75,3.588,72934390.75,5545.779
100,7,3,0.3,54022501.15,11.056,54071610.28,7.481,54022501.15,2756.473
100,7,3,0.5,55744198.6,8.445,55742301.28,6.709,55740403.96,5420.896
100,7,3,0.7,57226143.37,5.625,57226143.37,5.798,57273657.47,14551.115
100,7,4,0.3,38906269.9,7.123,38906269.9,5.169,38906269.9,1565.941
100,7,4,0.5,40969016.18,28.691,40950134.35,29.539,40765610.31,2500.332
100,7,4,0.7,42781380.64,22.842,42711640.54,22.443,42619627.72,14658.639
100,7,5,0.3,32674559.4,31.757,32674559.4,22.071,32658921.05,2604.39
100,7,5,0.5,34360238.61,23.419,34360238.61,32.211,34360238.61,6910.144
100,7,5,0.7,35973123.2,51.679,36019831.84,36.921,35978426.51,14672.016
100,7,6,0.3,26786746.48,30.336,26786746.48,23.282,26786746.48,1080.831
100,7,6,0.5,28454258.24,52.673,28442585.6,42.133,28435431.74,3038.237
100,7,6,0.7,30230369.79,32.369,30100659.15,54.075,30050010.99,14580.57
100,7,7,0.3,23210162.73,45.263,23210162.73,45.531,23210162.73,895.547
100,7,7,0.5,24896566.78,52.442,24926395.51,61.527,24896566.78,4010.852
100,7,7,0.7,26800556.41,38.333,26574281.49,68.373,26547383.9,14597.329
100,7,8,0.3,20528470.01,31.319,20528470.01,24.22,20528470.01,1287.519
100,7,8,0.5,22257909.53,43.668,22257909.53,52.44,22257909.53,4198.536
100,7,8,0.7,23949295.96,58.267,23949295.96,51.111,23960912.38,14640.682
100,7,9,0.3,18218333.89,57.719,18218333.89,51.778,18218333.89,1126.068
100,7,9,0.5,19958385.36,27.806,19950492.85,49.817,19950492.85,2746.659
100,7,9,0.7,21654430.57,24.309,21654430.57,45.57,21616308.51,14487.508
100,7,10,0.3,16223135.2,49.254,16223135.2,69.152,16223135.2,565.204
100,7,10,0.5,18160570.25,33.064,18186114.51,72.734,17969002.68,626.152
100,7,10,0.7,19705692.78,40.839,19705692.78,99.581,19705692.78,2957.445
100,8,2,0.3,223993756.3,0.793,223993756.3,0.647,223993756.3,774.671
100,8,2,0.5,235021824.6,3.251,235021824.6,1.906,235030248.4,1816.542
100,8,2,0.7,245505552,0.186,245505552,0.472,245505552,2615.528
100,8,3,0.3,167618364.3,1.675,167618364.3,1.173,167619143.6,884.208
100,8,3,0.5,183526819.5,4.651,183526819.5,4.012,183526819.5,1154.344
100,8,3,0.7,199311115.3,10.91,199311115.3,3.399,199311115.3,3111.128
100,8,4,0.3,151511365.1,14.038,151511365.1,9.953,151511365.1,3626.62
100,8,4,0.5,169340484.3,22.304,169246338.7,27.181,169163426.1,7811.724
100,8,4,0.7,186127394.4,30.675,186139406.1,19.064,186037778.9,14590.491
100,8,5,0.3,135970792.8,20.523,135970792.8,17.777,135970792.8,4383.863
100,8,5,0.5,155622623.2,22.311,155297734.1,37.52,155019135.9,10317.321
100,8,5,0.7,173120456.8,57.859,173543203.3,27.48,173590368.8,14591.246
100,8,6,0.3,122746161.2,30.31,122746161.2,60.972,122584473.6,5958.729
100,8,6,0.5,143704993.2,38.982,143757898.1,78.844,143220144.3,10575.787
100,8,6,0.7,162299213.9,74.052,162552770.9,45.882,162333426.1,14605.168
100,8,7,0.3,110023110.7,74.906,110023110.7,48.779,110023110.7,5101.529
100,8,7,0.5,132485056.9,52.197,132248493.4,95.474,132227860.1,10442.72
100,8,7,0.7,153683455.3,74.889,152577877.3,69.481,156494615.9,14568.63
100,8,8,0.3,101254241.5,50.57,100298106,70.383,100298106,2184.269
100,8,8,0.5,122785737.9,76.283,122714947.6,60.385,122438096.6,3756.931
100,8,8,0.7,144109247.6,62.723,143433684.4,79.859,143185689,14649.73
100,8,9,0.3,93778867.64,145.907,93769196.15,72.696,93769196.15,1414.09
100,8,9,0.5,116440781.9,82.777,116440781.9,71.432,116440781.9,4526.874
100,8,9,0.7,138501439,37.055,137818703.7,90.214,137664252.9,14694.304
100,8,10,0.3,88289429.87,92.331,87906514.54,84.54,87906514.54,960.103
100,8,10,0.5,111268639,66.409,111176185.2,71.343,111176185.2,4335.846
100,8,10,0.7,133555351.5,49.844,133093427.9,90.431,132968487.8,14505.914
100,9,2,0.3,38677805.46,2.373,38677805.46,0.932,38677805.46,1229.698
100,9,2,0.5,39716100.43,4.525,39716100.43,3.888,39716100.43,2039.809
100,9,2,0.7,40615667.74,6.667,40615667.74,6.833,40615667.74,2124.31
100,9,3,0.3,31575648.99,2.537,31575648.99,1.408,31575648.99,886.067
100,9,3,0.5,32846673.16,4.196,32846673.16,4.692,32846673.16,1350.302
100,9,3,0.7,34117405.07,4.472,34117405.07,7.447,34117405.07,9855.207
100,9,4,0.3,27251481.05,3.673,27251481.05,2.534,27251481.05,2767.484
100,9,4,0.5,28648538.68,14.732,28687328.66,2.748,28648538.68,5936.904
100,9,4,0.7,30031332.65,26.214,30029322.01,12.999,30074407.79,14590.495
100,9,5,0.3,24423256.37,8.574,24423256.37,5.265,24423256.37,2999.673
100,9,5,0.5,26004264.29,27.655,26004264.29,20.632,26004264.29,10972.895
100,9,5,0.7,27621616.38,42.937,27583245.18,24.824,27739264.02,14583.87
100,9,6,0.3,22269353.46,19.146,22269353.46,24.269,22269353.46,4984.403
100,9,6,0.5,23985779.89,21.055,23985779.89,37.277,23985779.89,13880.076
100,9,6,0.7,25714010.59,53.08,25708108.45,54.052,27000585.16,14589.999
100,9,7,0.3,20525808.62,78.3,20525808.62,74.464,20524525.23,4073.549
100,9,7,0.5,22368256.86,57.424,22286793.38,82.472,22280828.8,6473.065
100,9,7,0.7,24155588.01,67.209,24055678.31,57.662,26466758.97,14605.021
100,9,8,0.3,19329517.94,71.929,19251330.97,61.454,19204731.61,5595.151
100,9,8,0.5,21089721.68,68.018,21078392.7,73.224,21052380.03,14403.37
100,9,8,0.7,23018634.79,52.204,22888877.11,59.491,24164235.24,14651.477
100,9,9,0.3,18031797.82,76.168,17993174.1,101.107,17987940.02,5749.591
100,9,9,0.5,19984377.03,50.038,19888251.45,73.443,19879732.47,14401.471
100,9,9,0.7,21882702.78,40.415,21761221.67,69.664,22559201.32,14639.747
100,9,10,0.3,16846528.81,105.917,16847044.81,123.009,16846270.81,4055.398
100,9,10,0.5,18841258.67,62.258,18814166.26,47.007,18810293.61,14402.751
100,9,10,0.7,20774554.33,40.182,20700139.46,97.786,20668877.69,14448.896
100,10,2,0.3,50497995.99,0.855,50497995.99,1.383,50497995.99,3246.298
100,10,2,0.5,51345174.73,0.751,51345174.73,2.226,51345174.73,5015.989
100,10,2,0.7,52129313.75,0.934,52129313.75,0.285,52132033.04,14570.775
100,10,3,0.3,26611817.05,0.26,26611817.05,1.52,26611817.05,1771.408
100,10,3,0.5,27804833.25,0.433,27804833.25,1.616,27804833.25,2795.046
100,10,3,0.7,28946001.42,2.523,28946001.42,3.185,28946001.42,6809.467
100,10,4,0.3,21694989.39,7.968,21694989.39,15.123,21694989.39,1737.613
100,10,4,0.5,22892853.98,4.074,22892853.98,6.29,22892853.98,2507.415
100,10,4,0.7,24038147.61,9.792,24038147.61,14.061,24038147.61,11375.079
100,10,5,0.3,18385010,7.965,18385010,15.968,18385010,1127.681
100,10,5,0.5,19626940.36,7.558,19626940.36,14.652,19626940.36,1625.665
100,10,5,0.7,20865263.85,28.93,20865263.85,28.65,20865263.85,11340.013
100,10,6,0.3,16900241.96,40.46,16900241.96,46.935,16900241.96,1718.723
100,10,6,0.5,18128852.02,16.418,18115190.23,29.445,18115190.23,6334.719
100,10,6,0.7,19379183.87,55.991,19421889.45,34.043,19357762.7,14590.664
100,10,7,0.3,15795630.77,91.515,15795630.77,36.573,15795630.77,3797.766
100,10,7,0.5,17062418.79,50.695,17053955.64,26.169,17053955.64,11905.68
100,10,7,0.7,18325966.92,35.503,18311841.22,36.972,18392959.15,14595.617
100,10,8,0.3,14862529.06,60.752,14862529.06,51.167,14862529.06,6929.968
100,10,8,0.5,16107404.01,42.294,16129065.88,46.662,16107404.01,14406.047
100,10,8,0.7,17362089.08,40.225,17362089.08,35.223,17351471.74,14625.98
100,10,9,0.3,14056460.33,88.906,13998397.84,66.525,13976051.43,6101.871
100,10,9,0.5,15305442.59,51.317,15291043.1,42.833,15269246.71,14404.125
100,10,9,0.7,16798529.74,28.375,16562693.82,85.875,16566663.51,14582.692
100,10,10,0.3,13275009.23,59.3,13254039.65,83.459,13200589.2,8838.314
100,10,10,0.5,14677275.22,68.997,14607641.11,75.985,14563626.55,14402.916
100,10,10,0.7,15973605.03,39.574,15892838.85,90.911,15904274.81,14449.676
200,1,2,0.3,312184774.2,4.609,312184774.2,4.231,¡ª¡ª,
200,1,2,0.5,317579713.2,10.121,317579713.2,12.657,,
200,1,2,0.7,321962953.6,10.424,321659236.3,25.013,,
200,1,3,0.3,222955920.4,2.774,222955920.4,0.84,,
200,1,3,0.5,230841673,2.283,230841673,12.265,,
200,1,3,0.7,238667495,17.783,238667495,22.647,,
200,1,4,0.3,181721687,10.305,181721687,13.835,,
200,1,4,0.5,191624680.4,39.509,191618892.4,31.709,,
200,1,4,0.7,200752581.8,23.859,200752581.8,23.628,,
200,1,5,0.3,165324263.3,106.58,165283181.9,106.818,,
200,1,5,0.5,175252487.1,96.713,175255985,107.179,,
200,1,5,0.7,184296097.9,258.092,184293475.5,162.787,,
200,1,6,0.3,149152506.8,198.395,149183649.9,207.504,,
200,1,6,0.5,160050152.1,96.376,160070402.5,152.712,,
200,1,6,0.7,170214444.1,173.741,169825168.3,220.016,,
200,1,7,0.3,134871240,182.09,134353557.1,193.467,,
200,1,7,0.5,146095930.1,151.331,145696567,168.39,,
200,1,7,0.7,156431989.8,413.039,156219061,239.402,,
200,1,8,0.3,123838763.2,320.779,123706621.9,344.985,,
200,1,8,0.5,136146784.7,266.834,135957590.4,171.383,,
200,1,8,0.7,147005180.2,202.143,146205408.4,155.922,,
200,1,9,0.3,113519175.9,344.316,114626392.7,278.386,,
200,1,9,0.5,126532172.4,321.879,124970236.5,402.892,,
200,1,9,0.7,138480557.1,471.345,138107895,319.435,,
200,1,10,0.3,106568107.7,337.953,104884303.5,242.137,,
200,1,10,0.5,117170029.9,441.658,118623509.9,338.042,,
200,1,10,0.7,130279594.1,239.779,130244510.2,334.695,,
200,2,2,0.3,1204536321,0.702,1204536321,0.564,,
200,2,2,0.5,1254234720,10.824,1254234720,6.219,,
200,2,2,0.7,1301018088,3.838,1301018088,1.222,,
200,2,3,0.3,885853143.2,3.08,885853143.2,1.339,,
200,2,3,0.5,957467105.8,36.541,957467105.8,9.888,,
200,2,3,0.7,1027512643,15.076,1027512643,11.724,,
200,2,4,0.3,774705372,6.296,774705372,14.84,,
200,2,4,0.5,848202422.6,46.564,848143297,53.926,,
200,2,4,0.7,919039398.4,27.416,919039398.4,50.537,,
200,2,5,0.3,695422853.1,4.227,695422853.1,2.51,,
200,2,5,0.5,770758883.7,2.656,770758883.7,5.19,,
200,2,5,0.7,844835643.7,22.63,844835643.7,35.427,,
200,2,6,0.3,630699013.1,69.042,630699013.1,46.389,,
200,2,6,0.5,713544064.5,127.224,712764726.2,71.432,,
200,2,6,0.7,796473859.7,228.93,793478304.3,143.377,,
200,2,7,0.3,583741725.9,112.841,582731837.4,183.35,,
200,2,7,0.5,673317016.7,191.641,672648684.6,175.168,,
200,2,7,0.7,759705441.1,253.962,757618980.7,275.5,,
200,2,8,0.3,552787145.4,255.443,541741032,337.226,,
200,2,8,0.5,639117793.6,257.019,638343772.7,296.847,,
200,2,8,0.7,736233814.4,328.79,732912673.4,202.401,,
200,2,9,0.3,516956175,397.918,511857695.7,311.037,,
200,2,9,0.5,627219023.4,165.279,611676814.7,365.518,,
200,2,9,0.7,710480154.1,300.303,708393755.2,354.298,,
200,2,10,0.3,487217106.4,296.764,487241160.9,382.045,,
200,2,10,0.5,593956327.6,295.414,589244241.9,266.633,,
200,2,10,0.7,694641701.6,390.794,687561057.6,322.638,,
200,3,2,0.3,158258841.3,14.093,158246087,14.999,,
200,3,2,0.5,160521268.4,17.862,160204413.2,11.585,,
200,3,2,0.7,162448391.9,23.702,162186115.2,12.303,,
200,3,3,0.3,123783972.3,33.342,123783972.3,62.683,,
200,3,3,0.5,126912294.2,28.292,126912294.2,22.293,,
200,3,3,0.7,130033711.8,19.489,130018304.3,19.108,,
200,3,4,0.3,98441197.61,111.198,98438582.3,68.468,,
200,3,4,0.5,101748974.7,74.798,101743194.1,73.85,,
200,3,4,0.7,105167116.4,126.372,104942206,65.032,,
200,3,5,0.3,85242471.56,116.615,84962563.55,133.304,,
200,3,5,0.5,88558846.5,102.377,88464698.46,81.104,,
200,3,5,0.7,92285356.37,73.382,91838802.66,153.131,,
200,3,6,0.3,73008356.59,213.933,72966549.08,206.901,,
200,3,6,0.5,77003244.3,125.602,76806144,174.034,,
200,3,6,0.7,81020637.14,157.229,80951482.89,129.285,,
200,3,7,0.3,61407072.32,132.27,61284224.28,152.26,,
200,3,7,0.5,66317151.59,117.55,65722022.57,184.69,,
200,3,7,0.7,70435994.05,202.838,69962235.42,263.055,,
200,3,8,0.3,55788253.27,261.994,55788253.27,271.145,,
200,3,8,0.5,60415245.09,194.895,60201142.37,275.98,,
200,3,8,0.7,64821235.11,218.732,64369694.66,270.26,,
200,3,9,0.3,52253578,186.806,52171457.98,268.807,,
200,3,9,0.5,56519381.53,327.77,56463078.37,439.712,,
200,3,9,0.7,61524793.36,247.619,60708785.91,246.569,,
200,3,10,0.3,48986313.88,331.067,48959352.57,329.261,,
200,3,10,0.5,53324108.95,407.401,53311516.11,372.725,,
200,3,10,0.7,58415999.98,285.023,57859753.74,260.523,,
200,4,2,0.3,199455727.6,6.376,199455727.6,7.552,,
200,4,2,0.5,200611262.5,3.123,200611262.5,7.124,,
200,4,2,0.7,201722814.1,6.337,201722814.1,5.881,,
200,4,3,0.3,158262668.9,15.289,157953957.4,24.4,,
200,4,3,0.5,160259183.3,36.007,160256015.9,50.979,,
200,4,3,0.7,162585339.6,31.433,162569139.3,71.718,,
200,4,4,0.3,121830228.7,18.728,121830228.7,16.019,,
200,4,4,0.5,124888683.9,41.588,124888683.9,25.68,,
200,4,4,0.7,128146456.2,78.586,127756398.1,87.77,,
